"About the data: Exported on Dec 13, 2022. Criteria: '""digital divide*"" OR ""digital inequalit*"" OR ""digital gap*""' in title and abstract; Publication Year is 2000 or 2001 or 2002 or 2003 or 2004 or 2005 or 2006 or 2007; Fields of Research (ANZSRC 2020) is 35 Commerce, Management, Tourism and Services or 38 Economics or 46 Information and Computing Sciences; Publication Type is Article or Chapter or Proceeding. © 2022 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,ISBN,Title,Abstract,Acknowledgements,Source title,Anthology title,Publisher,ISSN,MeSH terms,Publication Date,PubYear,Publication Date (online),Publication Date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Research Organizations - standardized,GRID IDs,City of Research organization,State of Research organization,Country of Research organization,Funder,Funder Group,Funder Country,UIDs of supporting grants,Supporting Grants,Times cited,Recent citations,RCR,FCR,Altmetric,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),RCDC Categories,HRCS HC Categories,HRCS RAC Categories,Cancer Types,CSO Categories,Units of Assessment,Sustainable Development Goals
415,pub.1093961557,10.1109/icoin.2001.905260,,,0-7695-0951-7,Consumer communications and mass market information networking at the edge of the new millennium,"Summary form only given. The rapid growth of the Internet and the World Wide Web, and proliferation of personal computers increased our productivity, brought to life new business models, created armies of virtual millionaires and real losers, and reduced the World to a size of the global village. Today a person in Central Africa is capable of accessing the same information, use the same e-commerce vendors, and trade on-line as a person in the United States. This enormous progress still leaves most people on Earth including most of the populations of developed countries deprived of access to information that could greatly improve their lives. It is the well known today ""Digital Divide"" phenomenon. To include most of the mankind into the new economy we must address the specificity of consumer, mass market information networking. We present examples of mass market information access services as well as home networking applications and home information infrastructure management schemes. We offer a view on the consumer communications value chain composition that insures user-friendly mechanism for provisioning, service creation, and support of the home networking environments as well as their integration into the information infrastructure.",,,Proceedings 15th International Conference on Information Networking,Institute of Electrical and Electronics Engineers (IEEE),,,2001,2001,,,,,10-11,Closed,Proceeding,"Gelman, A.D.","Gelman, A.D. ()",,"Gelman, A.D. ()",,,,,,,,,,,0,0,,0.0,,,https://app.dimensions.ai/details/publication/pub.1093961557,46 Information and Computing Sciences; 4610 Library and Information Studies,,,,,,B11 Computer Science and Informatics,
415,pub.1052463847,10.1017/cbo9780511510595.010,,,"9780521542807, 9780511510595",Ecological Panel Inference from Repeated Cross Sections,"ABSTRACT This chapter presents a Markov chain model for the estimation of individual-level binary transitions from a time series of independent repeated cross-sectional (RCS) samples. Although RCS samples lack direct information on individual turnover, it is demonstrated here that it is possible with these data to draw meaningful conclusions on individual state-to-state transitions. We discuss estimation and inference using maximum likelihood, parametric bootstrap, and Markov chain Monte Carlo approaches. The model is illustrated by an application to the rise in ownership of computers in Dutch households since 1986, using a 13-wave annual panel data set. These data encompass more information than we need to estimate the model, and this additional information allows us to assess the validity of the parameter estimates. We examine the determinants of the transitions from have-not to have (and back again) using well-known socioeconomic and demographic covariates of the digital divide. Parametric bootstrap and Bayesian simulation are used to evaluate the accuracy and the precision of the ML estimates, and the results are also compared with those of a first-order dynamic panel model. To mimic genuine repeated cross-sectional data, we additionally analyze samples of independent observations randomly drawn from the panel. Software implementing the model is available.",,,Ecological Inference,Cambridge University Press (CUP),,,2004-09-13,2004,2010-05-18,2004-09-13,,,188-206,All OA; Green,Chapter,"Pelzer, Ben; Eisinga, Rob; Franses, Philip Hans","Pelzer, Ben (); Eisinga, Rob (); Franses, Philip Hans ()",,"Pelzer, Ben (); Eisinga, Rob (); Franses, Philip Hans ()",,,,,,,,,,,2,0,,0.4,,https://pure.rug.nl/ws/files/14531761/eisinga.pdf,https://app.dimensions.ai/details/publication/pub.1052463847,38 Economics; 3802 Econometrics; 49 Mathematical Sciences; 4905 Statistics,,Generic health relevance,,,,B10 Mathematical Sciences,3 Good Health and Well Being
415,pub.1044665050,10.1080/01972240601057254,,,,ICT Inclusion and Gender: Tensions in Narratives of Network Engineer Training,"Government, major information and communications technology (ICT) companies, and educational institutions in the United Kingdom currently claim that ICT skills training offers inclusion into the new economy. We focus on a private–public training initiative and its impact on the socially excluded, specifically lone women parents. Narrative data from four United Kingdom educational sites participating in this computer network engineer training program highlight a systemic paradox: that ICT skills development initiatives designed to support lone women parents are simultaneously working in opposition to broader policy goals such as work–life balance and ironically serve to reproduce the participants' classification as socially excluded. The assumptions underpinning the model of social inclusion driving the ICT skills training course are analyzed critically using the concepts of community of practice, classificatory systems, and marginalization. Our findings suggest that ICT training courses and initiatives should be accompanied by changes in pedagogic practice that accommodate the more wide-ranging needs of those targeted for inclusion, as well as changes in employment settings. We conclude by exploring the implications of this for government policy formation, business vendor qualifications, the design of ICT skills training initiatives, and our understanding of the role of ICT skills in overcoming the digital divide.",,The Information Society,,Taylor & Francis,"0197-2243, 1087-6537",,2007-02-24,2007,2007-02-24,2007-12,23,1,19-37,Closed,Article,"Gillard, Hazel; Mitev, Nathalie; Scott, Susan","Gillard, Hazel (Department of Information Systems, London School of Economics and Political Science, London, United Kingdom); Mitev, Nathalie (Department of Information Systems, London School of Economics and Political Science, London, United Kingdom); Scott, Susan (Department of Information Systems, London School of Economics and Political Science, London, United Kingdom)","Mitev, Nathalie (London School of Economics and Political Science)","Gillard, Hazel (London School of Economics and Political Science); Mitev, Nathalie (London School of Economics and Political Science); Scott, Susan (London School of Economics and Political Science)",London School of Economics and Political Science,grid.13063.37,London,,United Kingdom,,,,,,16,0,,4.41,3,,https://app.dimensions.ai/details/publication/pub.1044665050,"35 Commerce, Management, Tourism and Services; 3503 Business Systems In Context; 46 Information and Computing Sciences; 4608 Human-Centred Computing; 4610 Library and Information Studies",,,,,,C17 Business and Management Studies,4 Quality Education
415,pub.1133390039,10.15353/joci.v1i1.2058,,,,The Canadian Research Alliance for Community Innovation and Networking (CRACIN): A Research Partnership and Agenda for Community Networking in Canada,"The Canadian Research Alliance for Community Innovation and Networking (CRACIN) is a collaborative partnership amongst academic researchers in Canada, international researchers in Community Informatics, the three principal federal government departments promoting the ""Connecting Canadians"" agenda, and community networking practitioners in Canada. CRACIN’s substantive goal is to review the progress of community-based information and communications technology (ICT) development in the context of Canadian government programs promoting the development and public accessibility of Internet services. Central issues to be explored include the sustainability of community networking initiatives, along with an examination of how the Canadian community-based initiatives contribute to: the amelioration of ""digital divides""; the enhancement of economic, social, political and cultural capabilities; the creation, provision, and use of community-oriented learning opportunities; and the development of community-oriented cultural content, open source software, learning tools and broadband infrastructures. The over-arching goal of our research is to begin the systematic documentation and assessment of the development of community-oriented ICT capacity and services contributing to local learning, to the strengthening of relations in and between communities, and more generally to community-focused social and economic development in Canada.",,The Journal of Community Informatics,,University of Waterloo,1712-4441,,2004-10-21,2004,2004-10-21,,1,1,,All OA; Gold,Article,"Clement, Andrew; Gurstein, Michael; Longford, Graham; Luke, Robert; Moll, Marita; Shade, Leslie Reagan; DeChief, Diane","Clement, Andrew (); Gurstein, Michael (); Longford, Graham (); Luke, Robert (); Moll, Marita (); Shade, Leslie Reagan (); DeChief, Diane ()",,"Clement, Andrew (); Gurstein, Michael (); Longford, Graham (); Luke, Robert (); Moll, Marita (); Shade, Leslie Reagan (); DeChief, Diane ()",,,,,,,,,,,10,1,,7.01,,https://openjournals.uwaterloo.ca/index.php/JoCI/article/download/2058/2300,https://app.dimensions.ai/details/publication/pub.1133390039,46 Information and Computing Sciences; 4610 Library and Information Studies,Clinical Research; Health Services,,,,,C23 Education,17 Partnerships for the Goals
415,pub.1049315576,10.1145/972374.972381,,,,Turning 802.11 inside-out,"The past decade has seen communication revolution in the form of cellular telephony as well as the Internet, but much of it has been restricted to the developed world and metro pockets in the developing world. While the use of cellular technologies can cut down on the time to deploy access networks, the cost economics make this non-viable in growing telecom economies. In the Digital Gangetic Plains (DGP) project, we are exploring the use of 802.11 as a long-distance access technology. 802.11 is currently cost-priced due to competitive mass production and hence is attractive for low cost and rapid deployment in rural areas.We have built an extensive testbed in a rural setting consisting of multi-hop directional 802.11 links, the testbed spanning up to 80km at its longest. To our knowledge such a long-distance, multi-hop testbed based on 802.11 is unique thus far. While 802.11 is attractive in terms of cost economics, it was inherently designed for indoor use. Our novel use of the technology for outdoor, long-distance access links presents several challenges. Our experience with the testbed has brought several research as well as operational issues to the fore. In this paper, we describe the novel technical challenges that lie ahead in using 802.11 to bridge the digital divide.",,ACM SIGCOMM Computer Communication Review,,Association for Computing Machinery (ACM),"0146-4833, 1943-5819",,2004-01,2004,,2004-01,34,1,33-38,Closed,Article,"Bhagwat, Pravin; Raman, Bhaskaran; Sanghi, Dheeraj","Bhagwat, Pravin (IIT Kanpur, India); Raman, Bhaskaran (IIT Kanpur, India); Sanghi, Dheeraj (IIT Kanpur, India)",,"Bhagwat, Pravin (Indian Institute of Technology Kanpur); Raman, Bhaskaran (Indian Institute of Technology Kanpur); Sanghi, Dheeraj (Indian Institute of Technology Kanpur)",Indian Institute of Technology Kanpur,grid.417965.8,Kanpur,Uttar Pradesh,India,,,,,,85,4,,17.77,3,,https://app.dimensions.ai/details/publication/pub.1049315576,46 Information and Computing Sciences; 4606 Distributed Computing and Systems Software,Rural Health,,,,,B11 Computer Science and Informatics,
415,pub.1035011949,10.4018/978-1-59140-789-8.ch075,,,"9781591407898, 9781591407904",E-Government as a New Frontier for Legal Theory,"E-government has the potential to change fundamentally the organization of governments, and the governance practices used in relations with citizens and other governments. Legal theory is clearly affected by these changes. Yet there is no rush to publish on e-government in leading legal theory journals, and there is no visible surge in student demand for courses in e-government. Just as only some areas of governments in developed states have taken advantage of new information communication technologies, so only some areas of legal theory have engaged e-government. Issues in Internet governance and personal privacy dominate legal theory’s engagement with e-government, while e-engagement of citizens plays an increasingly important yet still limited role in governments’ interaction with citizens. Yet there are signs that this gentle pace may soon change, as leading jurisdictions approach completion of the first wave of service transformation at the same time as concerns regarding a digital divide recede under the growth of access to new information communication technologies. New opportunities for e-government may soon make e-government’s progress revolutionary rather than evolutionary, and legal theory will be forced to keep pace.",,,Encyclopedia of Digital Government,IGI Global,,,2007,2007,,,,,495-500,Closed,Chapter,"Anttiroiko, Ari-Veikko; Malkia, Matti; Culver, K.","Anttiroiko, Ari-Veikko (); Malkia, Matti (); Culver, K. (University of New Brunswick, Canada)",,"Anttiroiko, Ari-Veikko (); Malkia, Matti (); Culver, K. (University of New Brunswick)",University of New Brunswick,grid.266820.8,Fredericton,New Brunswick,Canada,,,,,,0,0,,0.0,,,https://app.dimensions.ai/details/publication/pub.1035011949,46 Information and Computing Sciences; 4610 Library and Information Studies,,,,,,"D34 Communication, Cultural and Media Studies, Library and Information Management","16 Peace, Justice and Strong Institutions"
415,pub.1093377991,10.1109/health.2004.1324502,,,0-7803-8453-9,"A System to Fight HIV/AIDS, Tuberculosis and Malaria in Undeveloped Countries with Help of Info-communication Technologies","The SCAESNet (Satellite Communication Anti-Epidemic Screening Network) project was developed by Russian JSC «VITANET» and «TANA» group in collaboration with Russian Space Communication Corporation (RSCC). Also participate in this collaboration were research institutes of medical and engineering in Russia. The Ministry of Communication and Information Russia and Ministry on Industry, Sciences and Technology Russia supported this project. The development of the SCAESNet project was also supported by the direct request of ITV to Minister of Russia on Communication and Information. Objective of the SCAESNet project is considerable rise efficiency of fight with HIV, tuberculosis, malaria and other diseases in undeveloped countries. Proposed project based on telemedicine technologies and satellite communication is designated to accomplish a medical care break-through in the countries and allows to reveal diseased persons at prime stages of the diseases when the diseases are not so contagious, and their treatment is more effective and cheaper. The SCAESNet was exhibited at the World Summit of Information Society (WSIS) 2003 in Geneva. In this event, SCAESNet was awarded as the most innovative real contribution to bridging the digital divide in line with the key strategic objectives for development of information society, endorsed.",,,Proceedings. 6th International Workshop on Enterprise Networking and Computing in Healthcare Industry - Healthcom 2004 (IEEE Cat. No.04EX842),Institute of Electrical and Electronics Engineers (IEEE),,,2004-01-01,2004,,2004-01-01,,,143-148,Closed,Proceeding,"Natenzon, M.; Tanopolsky, V.","Natenzon, M. (General Director JSC “VITANET”, Russia); Tanopolsky, V. (The General Director “TANA” Group, Russia)",,"Natenzon, M. (); Tanopolsky, V. ()",,,,,,,,,,,1,0,,0.07,,,https://app.dimensions.ai/details/publication/pub.1093377991,32 Biomedical and Clinical Sciences; 3207 Medical Microbiology; 46 Information and Computing Sciences,HIV/AIDS; Infectious Diseases,Infection,,,,C17 Business and Management Studies,3 Good Health and Well Being
415,pub.1064003302,10.1177/14604582030093006,,,,Assisted Internet Access for Patients in a General Practitioner Surgery: Helping the Information Poor,"The elderly and the poor do not readily access health information on the internet, `the digital divide'. The objective of this questionnaire based study in a socially deprived area was to establish the demand for Internet access in a general practitioner surgery (with a helper available), and to determine the relationship of that demand and actual use to previous experience. The influence of a general practitioner's encouragement and reasons for nonuse of the service were investigated. Overall 63%(151/239) were initially interested in accessing the Internet, and of these 92% (139/151) required help. Only 1.8% (3/167) of patients without previous experience of the Internet, `the information poor' actually used the Internet with assistance. 6.9% (5/72) of those with previous experience used it and they were also much more likely 77.7%(56/72) v.s 22.7% (38/167),to wish to do so in the future. 75% (11/14) of patients did not follow a general practitioner's recommendation to use the Internet. The predominant reasons for non-use were lack of time and home Internet access. Patients unfamiliar with the Internet, `the information poor', were unlikely to use the Internet even with assistance.",,Health Informatics Journal,,SAGE Publications,"1460-4582, 1741-2811",,2003-09,2003,2016-07-25,2003-09,9,3,199-206,Closed,Article,"Solomons, Richard E. B.","Solomons, Richard E. B. (Ling House Medical Centre, RSolomons@aol.com)",,"Solomons, Richard E. B. ()",,,,,,,,,,,1,0,,0.29,,,https://app.dimensions.ai/details/publication/pub.1064003302,42 Health Sciences; 4203 Health Services and Systems; 46 Information and Computing Sciences; 4601 Applied Computing,Clinical Research,,,,,A01 Clinical Medicine,
415,pub.1061600178,10.1109/tem.2005.844464,,,,Drivers of E-Business Activity in Developed and Emerging Markets,"This paper presents the results of an empirical analysis of the determinants of e-business activity across a sample of 26 developed countries and 52 emerging markets. Several “e-readiness” indicators predict actual e-business activity, including Internet infrastructure, computer infrastructure, affordable telephone service, literacy rates, English language capabilities, and logistics infrastructure. No support was found for a linkage between e-business and institutional factors (i.e., country risk, economic freedom, and transparency) or payment infrastructure. Moreover, evidence of path dependence suggests that sustainable first-mover advantages are conveyed upon early adopters of Internet technologies. Important regional differences also exist, with Asia leading other emerging markets and Eastern Europe lagging. Finally, analysis of a subsample of countries suggests that entrepreneurship rates drive e-business activity. The results document the persistence of the global digital divide and support a broad view of e-readiness, whereby a country's e-business activity depends not only upon information and communication technology (ICT) infrastructure but also upon human capital and logistics infrastructure. The absence of a link between institutional factors and e-business suggests that e-business arises not only when supporting economic institutions exist but also as a means of overcoming inadequate institutional conditions.","The authors wish to thank the IEEE Transactions on Engineering Management Editor Prof. G. Farris, the e-Commerce Department Editor Professor A. Chakrabarti, and the three anonymous reviewers for their helpful comments.",IEEE Transactions on Engineering Management,,Institute of Electrical and Electronics Engineers (IEEE),"0018-9391, 1558-0040",,2005-05,2005,,2005-05,52,2,155-166,Closed,Article,"Di. Gregorio, Dante; Kassicieh, Suleiman K.; De Gouvea Neto, Raul","Di. Gregorio, Dante (Anderson School of Management, University of New Mexico, Albuquerque, NM, 87131, USA); Kassicieh, Suleiman K. (Anderson School of Management, University of New Mexico, Albuquerque, NM, 87131, USA); De Gouvea Neto, Raul (Anderson School of Management, University of New Mexico, Albuquerque, NM, 87131, USA)",,"Di. Gregorio, Dante (University of New Mexico); Kassicieh, Suleiman K. (University of New Mexico); De Gouvea Neto, Raul (University of New Mexico)",University of New Mexico,grid.266832.b,Albuquerque,New Mexico,United States,,,,,,52,4,,12.72,,,https://app.dimensions.ai/details/publication/pub.1061600178,"35 Commerce, Management, Tourism and Services; 46 Information and Computing Sciences; 4609 Information Systems",Clinical Research,,,,,C17 Business and Management Studies,"9 Industry, Innovation and Infrastructure"
415,pub.1091062511,10.1299/jsmemecjo.2005.4.0_349,,,,3723 タッチモニタにおけるヒトのポインティング特性に対する加齢と性別の影響(S69 ヒューマンインタフェース),"The present study aims to establish a guideline for designing of GUI (e.g., software-keyboards) for touch-screens, so as to reduce the ""digital divide"" in our society. As a first step to this goal, we examined the aging effect and sexual difference on the dynamical properties of pointing movements on a touch-screen. The major results are as follows: 1. Pitts' law (MT=α log_2 D/S+β) did not necessarily hold when the subjects repeated pointing movements between two targets locations on the screen (D is the distance between the targets, S is the size of the target). Rather, the increase in the movement time (MT) was linearly related to the the index of difficulty (ID=D/S), this is, MT=α D/S+β. 2. Coefficient α and intercept β were not significantly different between the movements in left-right direction and in depth direction. 3. No sexual difference was found in the magnitude of α and β. 4. The intercept β linearly correlated to the subjects' ages while the coefficient α took almost the same value irrespective of the ages.",,The proceedings of the JSME annual meeting,,Japan Society of Mechanical Engineers,2433-1325,,2005,2005,,2005,2005.4,0,349-350,Closed,Article,"雅信, 駒崎; 正徳, 出澤","雅信, 駒崎 (電気通信大学); 正徳, 出澤 (電気通信大学)",,"雅信, 駒崎 (University of Electro-Communications); 正徳, 出澤 (University of Electro-Communications)",University of Electro-Communications,grid.266298.1,Tokyo,,Japan,,,,,,0,0,,0.0,,,https://app.dimensions.ai/details/publication/pub.1091062511,46 Information and Computing Sciences; 4608 Human-Centred Computing,,,,,,A05 Biological Sciences,
415,pub.1025893925,10.1108/17422040510595663,,,,Information and communications technology use in British unions,"Purpose Aims to review British labour union leaders’ views on the use and importance of information and communications technology (ICT) within their unions.   Design/methodology/approach An open‐ended e‐mail survey and personal interviews conducted in 2000‐2001 with union leaders provides the primary original data for this research. Responses are content analysed to assess the importance leaders assign to ICT for unions, to review the ways in which ICT is used, and the costs and benefits associated with ICT use. Charts and verbatim quotes are used to summarise respondents’ views. These views are compared and contrasted with data from the USA.   Findings Union leaders were generally enthusiastic about the importance of ICT for unions, citing various examples of ICT‐based benefits to their unions. Some, however, expressed reservations about members’ access to ICT and potential “digital divides”, while others warned that ICT may encourage unions to neglect worker desires for “a human touch” in helping them resolve problems. British union leaders’ views generally reinforce findings from an earlier survey in the USA, although direct comparisons are limited.   Originality/value Provides information on ICT views from a reasonably broad sampling of British union leaders and demonstrates similarity of views across Britain and the USA.",,Critical Perspectives on International Business,,Emerald,"1742-2043, 1758-6062",,2005-06-01,2005,,2005-06-01,1,2/3,180-193,Closed,Article,"Fiorito, Jack; Royle, M. Todd","Fiorito, Jack (College of Business, Florida State University, Tallahassee, Florida, USA); Royle, M. Todd (College of Business, Florida State University, Tallahassee, Florida, USA)",,"Fiorito, Jack (Florida State University); Royle, M. Todd (Florida State University)",Florida State University,grid.255986.5,Tallahassee,Florida,United States,,,,,,6,1,,1.9,,,https://app.dimensions.ai/details/publication/pub.1025893925,"35 Commerce, Management, Tourism and Services; 3505 Human Resources and Industrial Relations",,,,,,C17 Business and Management Studies,
415,pub.1052458636,10.1007/978-0-387-47650-6_17,,,"978-0-387-32722-8, 978-0-387-47650-6",Research Process and Connectivity in the Information Society,"One of the key objectives of the “Past, Present and Future” conference was to inject a note of realism in the run up to phase two of the World Summit on the Information Society. This might seem strange, given that the original sponsor of the event, the Society for Social Studies of Science, is an international, professional association whose members are often thought to advocate various forms of social constructivism. The conference brought together active scholars, who do research on global and national ICT issues, with policy makers, program managers, and senior organizational leaders. One of the constants throughout the three days of the meeting is not any particular theoretical, organizational, or ideological advocacy, but an overarching sense that the past, present, and future of research in an information society must include not only innovations in information technologies themselves, but also the ways in which these technologies interact with and are constituted by the social, political, and developmental contexts in which they are embedded. The “seamless web” of science, technology, and society was never more apparent than in the variety of presentations that follow.",,,"Past, Present and Future of Research in the Information Society",Springer Nature,,,2007-01-01,2007,,2007-01-01,,,245-270,Closed,Chapter,"Sooryamoorthy, R.; Mbatia, Paul Nyaga; Johnson, Wayne; Okwach, George E.; Schaffer, Daniel; Smith, Carthage; Dryden, John; Hu, Qiheng; Bijker, Wiebe; Shrum, Wesley","Sooryamoorthy, R. (University of KwaZulu Natal, South Africa); Mbatia, Paul Nyaga (University of Nairobi, Kenya); Johnson, Wayne (Hewlett Packard, USA); Okwach, George E. (Kenya Sugar Research Foundation, Kenya); Schaffer, Daniel (Third World Academy of Sciences, Italy); Smith, Carthage (International Council for Science (ICSU), France); Dryden, John (OECD, France); Hu, Qiheng (Internet Society of China, China); Bijker, Wiebe (University of Maastricht, The Netherlands); Shrum, Wesley (Louisiana State University, USA)",,"Sooryamoorthy, R. (University of KwaZulu-Natal); Mbatia, Paul Nyaga (University of Nairobi); Johnson, Wayne (Hewlett-Packard (United States)); Okwach, George E. (); Schaffer, Daniel (The World Academy of Sciences); Smith, Carthage (International Science Council); Dryden, John (Organisation For Economic Co-Operation and Development); Hu, Qiheng (); Bijker, Wiebe (Maastricht University); Shrum, Wesley (Louisiana State University)",International Science Council; University of Nairobi; The World Academy of Sciences; University of KwaZulu-Natal; Organisation For Economic Co-Operation and Development; Maastricht University; Louisiana State University; Hewlett-Packard (United States),grid.512110.6; grid.10604.33; grid.453211.0; grid.16463.36; grid.36193.3e; grid.5012.6; grid.64337.35; grid.418547.b,Paris; Nairobi; Trieste; Durban; Paris; Maastricht; Baton Rouge; Palo Alto,; Nairobi; ; ; ; Limburg; Louisiana; California,France; Kenya; Italy; South Africa; France; Netherlands; United States; United States,,,,,,0,0,,0.0,,,https://app.dimensions.ai/details/publication/pub.1052458636,"35 Commerce, Management, Tourism and Services; 46 Information and Computing Sciences; 4610 Library and Information Studies",,,,,,C17 Business and Management Studies,4 Quality Education
404,pub.1016105252,10.1016/j.cpc.2007.02.002,,,,Networking for High Energy and Nuclear Physics,"This report gives an overview of the status and outlook for the world's research networks and major international links used by the high energy physics and other scientific communities, network technology advances on which our community depends and in which we have an increasingly important role, and the problem of the Digital Divide, which is a primary focus of ICFA's Standing Committee on Inter-regional Connectivity (SCIC).Wide area networks of sufficient, and rapidly increasing end-to-end capability are vital for every phase of high energy physicists' work. Our bandwidth usage, and the typical capacity of the major national backbones and intercontinental links used by our field have progressed by a factor of more than 1000 over the past decade, and the outlook is for a similar increase over the next decade. This striking exponential growth trend, outstripping the growth rates in other areas of information technology, has continued in the past year, with many of the major national, continental and transoceanic networks supporting research and education progressing from a 10 Gigabits/sec (Gbps) backbone to multiple 10 Gbps links in their core. This is complemented by the use of point-to-point “light paths” to support the most demanding applications, including high energy physics, in a growing list of cases.As we approach the era of LHC physics, the growing need to access and transport Terabyte-scale and later 10 to 100 Terabyte datasets among more than 100 “Tier1” and “Tier2” centers at universities and laboratories spread throughout the world has brought the key role of networks, and the ongoing need for their development, sharply into focus. Bandwidth itself on an increasing scale is not enough. Realizing the scientific wealth of the LHC and our other major scientific programs depends crucially on our ability to use the bandwidth efficiently and reliably, with reliable high rates of data throughput, and effectively, where many parallel large-scale data transfers serving the community complete with high probability, often while coexisting with many other streams of network traffic. Responding to these needs, and to the scientific mission, physicists working with network engineers and computer scientists have made substantial progress in the development of protocols and systems that promise to meet these needs, placing our community among the world leaders in the development as well as use of large-scale networks. A great deal of work remains, and is continuing.As we advance in these areas, often (as in the past year) with great rapidity, there is a growing danger that we will leave behind our collaborators in regions with less-developed networks, or with regulatory frameworks or business models that put the required networks financially out of reach. This threatens to further open the Digital Divide that already exists among the regions of the world. In 2002, the SCIC recognized the threat that this Divide represents to our global scientific collaborations, and since that time has worked assiduously to reduce or eliminate it; both within our community, and more broadly in the world research community of which HEP is a part.",,Computer Physics Communications,,Elsevier,"0010-4655, 1879-2944",,2007-07,2007,,2007-07,177,1-2,224-230,Closed,Article,"Newman, Harvey B.","Newman, Harvey B. (California Institute of Technology, Pasadena, CA 91125, USA)",,"Newman, Harvey B. (California Institute of Technology)",California Institute of Technology,grid.20861.3d,Pasadena,California,United States,,,,,,1,0,,0.45,,,https://app.dimensions.ai/details/publication/pub.1016105252,46 Information and Computing Sciences; 4601 Applied Computing; 51 Physical Sciences,HIV/AIDS,,,,,A05 Biological Sciences,7 Affordable and Clean Energy
402,pub.1007112919,10.4018/978-1-93177-743-8.ch011,,,"9781931777438, 9781931777599",Social Responsibility and the Transition Toward a Knowledge-Based Society in Latin America,"In Latin America, the proliferation of regional and multilateral agreements with integration as a purpose has generated a high flow of goods, services, and investments among these countries. From the economic perspective, the outcome is trade and, therefore, stimulus to economic growth. Information technology is a relevant parameter in this endeavor. The “digital gap” between developed countries (DC) and less developed countries (LDC) is greater than the gap in the “standard of living” between them. The uneven distribution of wealth among and within countries, and the lack of communication infrastructure and computer-based power, situate them at a transitional stage within the “knowledge-based society,” which emanates social changes, and therefore new roles to be achieved by private and public institutions within the framework of social responsibility.",,,Current Security Management & Ethical Issues of Information Technology,IGI Global,,,2003,2003,,,,,214-221,Closed,Chapter,"Azari, Rasool; Ochoa-Morales, Heberto J.","Azari, Rasool (); Ochoa-Morales, Heberto J. (University of New Mexico, USA)",,"Azari, Rasool (); Ochoa-Morales, Heberto J. (University of New Mexico)",University of New Mexico,grid.266832.b,Albuquerque,New Mexico,United States,,,,,,0,0,,0.0,,,https://app.dimensions.ai/details/publication/pub.1007112919,44 Human Society; 4404 Development Studies; 46 Information and Computing Sciences,,,,,,C17 Business and Management Studies,10 Reduced Inequalities
401,pub.1095510453,10.1109/hicss.2002.994079,,,0-7695-1435-9,Introduction to Information Technology and Public Administration: E-Policy Minitrack,"This minitrack is designed to address the need for improved research on how government policy and operations interact with information technology development. The interactions are potentially complex ones. The growth of e-government initiatives can have major impacts on how governments function and government policies can strongly influence the development and implementation of information technologies. The significance of these interactions is reflected in the World Bank's recently announced Information and Communication Technology (ICT) Infrastructure and E-Readiness Assessments Initiative, which will support assessments of countries readiness for electronic business and government. It is also reflected in US and EU sponsored research programs on digital government. These papers respond to the need for research in this area by focusing on a variety of IT developments as they relate to government programs and policy issues. These include such issues as intellectual property rights, security for government systems, the digital divide and problems of limited infrastructure and resources for both citizens and government agencies, as well as the role of government in IT research and development. By dealing with a variety of policy themes, these papers provide a range of valuable insights into the linkages of policy to e-government activities and programs They also illustrate how research and policy analysis can be applied to specific issues within this important area of government innovation.",,,Proceedings of the 35th Annual Hawaii International Conference on System Sciences,Institute of Electrical and Electronics Engineers (IEEE),,,2002-01-01,2002,,2002-01-01,,,1646-1647,Closed,Proceeding,"Cresswell, Anthony; Gisler, Michael; Günter, Matthias","Cresswell, Anthony (Center f. Technology in Government, University at Albany-SUNY); Gisler, Michael (University of Applied Sciences of Berne); Günter, Matthias (Swiss Federal Institute of Intellectual Property)",,"Cresswell, Anthony (University at Albany, State University of New York); Gisler, Michael (); Günter, Matthias (Swiss Federal Institute of Intellectual Property)","Swiss Federal Institute of Intellectual Property; University at Albany, State University of New York",grid.483041.a; grid.265850.c,Bern; Albany,; New York,Switzerland; United States,,,,,,0,0,,0.0,,,https://app.dimensions.ai/details/publication/pub.1095510453,44 Human Society; 4407 Policy and Administration; 46 Information and Computing Sciences; 4610 Library and Information Studies,,,,,,C17 Business and Management Studies,4 Quality Education
